pdf	pdf.name	REF	Pages	Abstract
1	Aarssen1997.pdf	"Aarssen, L.W. 1997. On the Progress of Ecology. Oikos 80:177-178"	2	No Abstract
2	Abrams1993.pdf	"Abrams, P.A; Matsuda, H.; Harada, Y. 1993. Evolutionarily unstable fitness maxima and stable fitness minima of continuous traits. Evolutionary Ecology 7:465-487"	23	"We present models of adaptive change in continuous traits for the following situations: (1) adaptation of a single trait within a single population in which the fitness of a given individual depends on the population's mean trait value as well as its own trait value; (2) adaptation of two (or more) traits within a single population; (3) adaptation in two or more interacting species. We analyse a dynamic model of these adaptive scenarios in which the rate of change of the mean trait value is an increasing function of the fitness gradient (i.e. the rate of increase of individual fitness with the individual's trait value). Such models have been employed in evolutionary game theory and are often appropriate both for the evolution of quantitative genetic traits and for the behavioural adjustment of phenotypically plastic traits. The dynamics of the adaptation of several different ecologically important traits can result in characters that minimize individual fitness and can preclude evolution towards characters that maximize individual fitness. We discuss biological circumstances that are likely to produce such adaptive failures for situations involving foraging, predator avoidance, competition and coevolution. The results argue for greater attention to dynamical stability in models of the evolution of continuous traits."
3	Abrams1984b.pdf	"Abrams, P.A. 1984. Foraging time optimization and interactions in food webs. American Naturalist 124:80"	1	"The consequences of foraging time optimization by one species in a food web on interactions in the food web are investigated using several simple mathematical models. The situation modeled is one in which a forager must expose itself to a greater risk of predation while foraging, and it adjusts foraging time adaptively to maximize fitness. In this system the forager's behavior results in a number of indirect effects between species: it causes interactions between the forager's predator and the forager's food; it causes predator self-limitation; and it may cause interactions between different food species. Some simple models are used to show that these trophically mediated indirect effects theoretically can be comparable to or larger in magnitude than the direct interactions between adjacent trophic levels. The possibility of such indirect effects has important implications for theoretical and empirical studies of food webs."
4	Adler2007.pdf	"Adler, P.B.; HilleRislambers, J.; Levine, J.M. 2007. A niche for neutrality. Ecology Letters 10:95-104"	10	"Ecologists now recognize that controversy over the relative importance of niches and neutrality cannot be resolved by analyzing species abundance patterns. Here, we use classical coexistence theory to reframe the debate in terms of stabilizing mechanisms (niches) and fitness equivalence (neutrality). The neutral model is a special case where stabilizing mechanisms are absent and species have equivalent fitness. Instead of asking whether niches or neutral processes structure communities, we advocate determining the degree to which observed diversity reflects strong stabilizing mechanisms overcoming large fitness differences or weak stabilization operating on species of similar fitness. To answer this question, we propose combining data on per capita growth rates with models to: (i) quantify the strength of stabilizing processes; (ii) quantify fitness inequality and compare it with stabilization; and (iii) manipulate frequency dependence in growth to test the consequences of stabilization and fitness equivalence for coexistence."
5	Agrawal2001.pdf	"Agrawal, A.A. 2001. Phenotypic plasticity in the interactions and evolution of species. Science 294:321-326"	6	"When individuals of two species interact, they can adjust their phenotypes in response to their respective partner, be they antagonists or mutualists. The reciprocal phenotypic change between individuals of interacting species can reflect an evolutionary response to spatial and temporal variation in species interactions and ecologically result in the structuring of food chains. The evolution of adaptive phenotypic plasticity has led to the success of organisms in novel habitats, and potentially contributes to genetic differentiation and speciation. Taken together, phenotypic responses in species interactions represent modifications that can lead to reciprocal change in ecological time, altered community patterns, and expanded evolutionary potential of species."
6	Allen1993.pdf	"Allen, J.C.; Schaffer, W.M.; Rosko, D. 1993. Chaos reduces species extinction by amplifying local population noise. Nature 364:229-232"	4	"In the mid-1970s, theoretical ecologists were responsible for stimulating interest in nonlinear dynamics and chaos. Ironically, the importance of chaos in ecology itself remains controversial. Proponents of ecological chaos point to its ubiquity in mathematical models and to various empirical findings. Sceptics maintain that the models are unrealistic and that the experimental evidence is equally consistent with stochastic models. More generally, it has been argued that interdemic selection and/or enhanced rates of species extinction will eliminate populations and species that evolve into chaotic regions of parameter space. Fundamental to this opinion is the belief that violent oscillations and low minimum population densities are inevitable correlates of the chaotic state. In fact, rarity is not a necessary consequence of complex dynamical behaviour. But even when chaos is associated with frequent rarity, its consequences to survival are necessarily deleterious only in the case of species composed of a single population. Of course, the majority of real world species (for example, most insects) consist of multiple populations weakly coupled by migration, and in this circumstance chaos can actually reduce the probability of extinction. Here we show that although low densities lead to more frequent extinction at the local level, the decorrelating effect of chaotic oscillations reduces the degree of synchrony among populations and thus the likelihood that all are simultaneously extinguished."
7	Altizer2013.pdf	"Altizer, S. et al. 2013. Climate change and infectious diseases: from evidence to a predictive framework. Science 341:514-519"	6	"Scientists have long predicted large-scale responses of infectious diseases to climate change, giving rise to a polarizing debate, especially concerning human pathogens for which socioeconomic drivers and control measures can limit the detection of climate-mediated changes. Climate change has already increased the occurrence of diseases in some natural and agricultural systems, but in many cases, outcomes depend on the form of climate change and details of the host-pathogen system. In this review, we highlight research progress and gaps that have emerged during the past decade and develop a predictive framework that integrates knowledge from ecophysiology and community ecology with modeling approaches. Future work must continue to anticipate and monitor pathogen biodiversity and disease trends in natural ecosystems and identify opportunities to mitigate the impacts of climate-driven disease emergence."
8	Altmann1974.pdf	"Altmann, J. 1974. Observational Study of Behavior: Sampling Methods. Behaviour 49:227-266"	40	"Seven major types of sampling for observational studies of social behavior have been found in the literature. These methods differ considerably in their suitability for providing unbiased data of various kinds. Below is a summary of the major recommended uses of each technique: State or Event Sampling Method Sampling Recommended Uses 1. Ad Libitum (p. 235) either Primarily of heuristic value; suggestive; records of rare but significant events. 2. Sociometric Matrix Completion (p. 240) event Asymmetry within dyads. 3. Focal-Animal (p. 242) either Sequential constraints; percent of time; rates; durations; nearest neighbor relationships. 4. All Occurrences of Some Behaviors (p. 247) usually event Synchrony; rates. 5. Sequence (p. 248) either Sequential constraints. 6. One-Zero (p. 251) usually state None. 7. Instantaneous and Scan (p. 258) state Percent of time; synchrony; subgroups. In this paper, I have tried to point out the major strengths and weaknesses of each sampling method. Some methods are intrinsically biased with respect to many variables, others to fewer. In choosing a sampling method the main question is whether the procedure results in a biased sample of the variables under study. A method can produce a biased sample directly, as a result of intrinsic bias with respect to a study variable, or secondarily due to some degree of dependence (correlation) between the study variable and a directly-biased variable. In order to choose a sampling technique, the observer needs to consider carefully the characteristics of behavior and social interactions that are relevant to the study population and the research questions at hand. In most studies one will not have adequate empirical knowledge of the dependencies between relevant variables. Under the circumstances, the observer should avoid intrinsic biases to whatever extent possible, in particular those that direcly affect the variables under study. Finally, it will often be possible to use more than one sampling method in a study. Such samples can be taken successively or, under favorable conditions, even concurrently. For example, we have found it possible to take Instantaneous Samples of the identities and distances of nearest neighbors of a focal individual at five or ten minute intervals during Focal-Animal (behavior) Samples on that individual. Often during Focal-Animal Sampling one can also record All Occurrences of Some Behaviors, for the whole social group, for categories of conspicuous behavior, such as predation, intergroup contact, drinking, and so on. The extent to which concurrent multiple sampling is feasible will depend very much on the behavior categories and rate of occurrence, the observational conditions, etc. Where feasible, such multiple sampling can greatly aid in the efficient use of research time."
9	Anderson2000.pdf	"Anderson, D.R.; Burnham, K.P.; Thompson, W.L. 2000. Null hypothesis testing: Problems, prevalence, and an alternative. Journal of Wildlife Management 64:912-923"	12	"This paper presents a review and critique of statistical null hypothesis testing in ecological studies in general, and wildlife studies in particular, and describes an alternative. Our review of Ecology and the journal of Wildlife Management found the use of null hypothesis testing to be pervasive. The estimated number of P-values appearing within articles of Ecology exceeded 8,000 in 1991 and has exceeded 3,000 in each year since 1984, whereas the estimated number of P-values in the Journal of Wildlife Management exceeded 8,000 in 1997 and has exceeded 3,000 in each year since 1991. We estimated that 47% (SE = 3.9%) of the P-values in the Journal of Wildlife;fe Management lacked estimates of means or effect sizes or even the sign of the difference in means or other parameters. We find that null hypothesis testing is uninformative when no estimates of means or effect size and their precision are given. Contrary to common dogma, tests of statistical null hypotheses have relatively little utility in science and are not a fundamental aspect of the scientific method. We recommend their use be reduced in favor of more informative approaches. Towards this objective, we describe a relatively new paradigm of data analysis based on Kullback-Leibler information. This paradigm is an extension of likelihood theory and, when used correctly, avoids many of the fundamental limitations and common misuses of null hypothesis testing. Information-theoretic methods focus on providing a strength of evidence for an a priori set of alternative hypotheses, rather than a statistical test of a null hypothesis. This paradigm allows the following types of evidence for the alternative hypotheses: the rank of each hypothesis, expressed as a model; an estimate of the formal likelihood of each model, given the data; a measure of precision that incorporates model selection uncertainty; and simple methods to allow the use of the set of alternative models in making formal inference. We provide an example of the information-theoretic approach using data on the effect of lead on survival in spectacled elder ducks (Somateria fischeri). Regardless of the analysis paradigm used, we strongly recommend inferences based on a priori considerations be clearly separated from those resulting from some form of data dredging."
10	Anderson2011.pdf	"Anderson, M.J. et al. 2011. Navigating the multiple meanings of BETA diversity: a roadmap for the practicing ecologist. Ecology Letters 14:19-28"	10	"A recent increase in studies of Î_ diversity has yielded a confusing array of concepts, measures and methods. Here, we provide a roadmap of the most widely used and ecologically relevant approaches for analysis through a series of mission statements. We distinguish two types of Î_ diversity: directional turnover along a gradient vs. non-directional variation. Different measures emphasize different properties of ecological data. Such properties include the degree of emphasis on presence/absence vs. relative abundance information and the inclusion vs. exclusion of joint absences. Judicious use of multiple measures in concert can uncover the underlying nature of patterns in Î_ diversity for a given dataset. A case study of Indonesian coral assemblages shows the utility of a multi-faceted approach. We advocate careful consideration of relevant questions, matched by appropriate analyses. The rigorous application of null models will also help to reveal potential processes driving observed patterns in Î_ diversity."
