"id","Vote_time","Gender","Years","Country","PDF_ID1","List1","Knowledge1","PDF_ID2","List2","Knowledge2","PDF_ID3","List3","Knowledge3","PDF_ID4","List4","Knowledge4","PDF_ID5","List5","Knowledge5","PDF_ID6","List6","Knowledge6","PDF_ID7","List7","Knowledge7","PDF_ID8","List8","Knowledge8","PDF_ID9","List9","Knowledge9","PDF_ID10","List10","Knowledge10","PDF_ID11","List11","Knowledge11","PDF_ID12","List12","Knowledge12","PDF_ID13","List13","Knowledge13","PDF_ID14","List14","Knowledge14","PDF_ID15","List15","Knowledge15","PDF_ID16","List16","Knowledge16","PDF_ID17","List17","Knowledge17","PDF_ID18","List18","Knowledge18","PDF_ID19","List19","Knowledge19","PDF_ID20","List20","Knowledge20","IP"
"0","0",NULL,NULL,NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NULL
"0","18",NULL,NULL,NULL,"230","0","0","509","0","0","385","0","0","119","0","0","262","0","0","194","0","0","464","0","0","95","0","0","429","0","0","9","0","0","243","0","0","393","0","0","193","0","0","499","0","0","458","0","0","436","0","0","76","0","0","306","0","0","397","0","0","440","0","0",NULL
"0","19",NULL,NULL,NULL,"483","0","0","309","0","0","329","0","0","536","0","0","82","0","0","50","0","0","92","0","0","167","0","0","477","0","0","419","0","0","45","0","0","469","0","0","439","0","0","537","0","0","77","0","0","500","0","0","538","0","0","210","0","0","319","0","0","368","0","0",NULL
"0","20",NULL,NULL,NULL,"35","0","0","126","0","0","240","0","0","79","0","0","198","0","0","180","0","0","278","0","0","55","0","0","338","0","0","331","0","0","97","0","0","357","0","0","428","0","0","501","0","0","447","0","0","482","0","0","128","0","0","80","0","0","34","0","0","199","0","0",NULL
"0","21",NULL,NULL,NULL,"21","0","0","235","0","0","68","0","0","478","0","0","303","0","0","14","0","0","456","0","0","58","0","0","267","0","0","512","0","0","446","0","0","543","0","0","467","0","0","184","0","0","455","0","0","462","0","0","81","0","0","10","0","0","174","0","0","494","0","0",NULL
"5","1","M","2","USA","395","0","0","481","0","0","308","0","0","337","0","0","61","0","0","357","0","0","47","3","1","489","0","0","16","0","0","403","0","0","329","0","0","162","0","0","65","0","0","13","0","0","211","0","0","510","0","0","398","0","0","311","0","0","537","0","0","471","0","0","134.114.101.31"
"5","2",NULL,NULL,NULL,"7","0","0","444","0","0","275","0","0","131","0","0","285","0","0","513","0","0","5","0","0","81","0","0","172","0","0","470","0","0","118","0","0","278","3","1","228","0","0","110","0","0","225","0","0","543","0","0","246","0","0","517","0","0","229","0","0","252","0","0",NULL
"5","3",NULL,NULL,NULL,"122","0","0","85","0","0","130","0","0","269","4","1","540","0","0","429","0","0","441","0","0","119","0","0","334","0","0","163","4","1","26","0","0","158","0","0","56","0","0","92","0","0","224","0","0","113","0","0","74","0","0","475","0","0","133","0","0","306","0","0",NULL
"5","4",NULL,NULL,NULL,"266","0","0","399","0","0","73","0","0","114","0","0","292","0","0","179","0","0","367","0","0","325","0","0","59","0","0","496","0","0","274","0","0","150","0","0","129","0","0","51","0","0","203","0","0","184","0","0","525","3","1","222","3","1","55","0","0","20","0","0",NULL
"5","5",NULL,NULL,NULL,"86","0","0","494","0","0","454","0","0","242","3","1","95","0","0","465","0","0","411","0","0","299","0","0","401","3","1","295","0","0","484","0","0","255","0","0","526","0","0","288","0","0","108","0","0","273","0","0","303","0","0","87","0","0","239","0","0","316","0","0",NULL
"5","6",NULL,NULL,NULL,"520","0","0","247","0","0","289","0","0","521","0","0","254","0","0","293","4","1","483","0","0","78","0","0","480","0","0","2","4","1","216","0","0","97","4","1","8","0","0","156","0","0","157","0","0","128","0","0","370","0","0","451","0","0","442","0","0","522","2","1",NULL
"5","7",NULL,NULL,NULL,"315","0","0","271","0","0","506","0","0","107","0","0","314","0","0","335","0","0","405","0","0","199","4","1","467","0","0","478","0","0","166","0","0","531","0","0","83","0","0","139","0","0","423","0","0","319","0","0","339","0","0","226","0","0","361","0","0","535","0","0",NULL
"5","8",NULL,NULL,NULL,"375","0","0","171","0","0","159","0","0","250","0","0","218","0","0","276","0","0","512","0","0","264","0","0","29","0","0","389","0","0","412","0","0","30","0","0","235","0","0","352","0","0","71","0","0","90","0","0","509","0","0","260","0","0","466","0","0","75","0","0",NULL
"5","9",NULL,NULL,NULL,"498","0","0","19","0","0","138","0","0","482","0","0","536","3","0","542","0","0","53","0","0","140","0","0","445","0","0","121","0","0","298","0","0","60","0","0","349","3","1","453","0","0","12","0","0","124","0","0","519","0","0","117","0","0","474","0","0","457","0","0",NULL
"5","10",NULL,NULL,NULL,"476","0","0","458","0","0","459","0","0","336","0","0","43","0","0","168","2","1","534","0","0","435","0","0","366","0","0","207","3","1","258","0","0","123","0","0","492","0","0","79","0","0","504","0","0","324","0","0","356","0","0","125","0","0","463","3","1","427","0","0",NULL
"5","11",NULL,NULL,NULL,"234","0","0","62","0","0","82","0","0","350","0","0","406","0","0","243","0","0","322","0","0","50","0","0","414","0","0","282","0","0","452","0","0","10","0","0","363","0","0","447","4","1","365","0","0","312","0","0","437","0","0","421","0","0","93","0","0","272","0","0",NULL
"5","12",NULL,NULL,NULL,"148","0","0","500","0","0","41","0","0","196","0","0","332","0","0","17","0","0","296","0","0","372","3","1","297","0","0","317","0","0","380","0","0","359","0","0","37","0","0","345","0","0","400","0","0","327","0","0","251","0","0","527","0","0","338","0","0","0","0","0",NULL
"5","13",NULL,NULL,NULL,"360","0","0","347","0","0","33","0","0","205","0","0","461","2","1","28","0","0","420","0","0","195","0","0","126","0","0","394","0","0","448","4","1","198","0","0","326","0","0","539","0","0","146","0","0","460","0","0","9","0","0","77","0","0","425","0","0","267","0","0",NULL
"5","14",NULL,NULL,NULL,"268","4","1","214","3","1","384","0","0","333","0","0","323","0","0","528","0","0","455","0","0","469","3","1","436","0","0","35","0","0","499","0","0","417","0","0","233","0","0","161","0","0","544","0","0","109","0","0","1","0","0","142","0","0","358","0","0","6","0","0",NULL
"5","15",NULL,NULL,NULL,"487","0","0","408","0","0","473","0","0","96","0","0","180","0","0","15","0","0","64","0","0","88","0","0","39","0","0","48","3","1","256","0","0","98","0","0","183","0","0","472","0","0","396","0","0","541","0","0","194","0","0","433","0","0","426","0","0","342","0","0",NULL
"5","16",NULL,NULL,NULL,"223","0","0","371","0","0","135","0","0","187","3","1","301","0","0","530","0","0","545","0","0","364","0","0","284","0","0","290","0","0","488","0","0","404","0","0","449","0","0","529","0","0","346","0","0","511","0","0","101","0","0","354","0","0","277","3","0","91","0","0",NULL
"5","17",NULL,NULL,NULL,"279","0","0","355","0","0","116","0","0","170","0","0","14","0","0","3","0","0","391","0","0","446","0","0","219","3","1","432","0","0","387","0","0","505","0","0","491","0","0","532","0","0","193","0","0","145","0","0","351","0","0","419","0","0","374","0","0","524","0","0",NULL
"5","18",NULL,NULL,NULL,"188","0","0","291","0","0","244","0","0","434","4","1","402","0","0","44","0","0","456","0","0","283","0","0","373","0","0","546","0","0","134","0","0","230","0","0","390","3","1","190","0","0","27","4","1","240","0","0","24","0","0","280","0","0","155","0","0","440","4","1",NULL
"5","19",NULL,NULL,NULL,"132","0","0","213","0","0","514","0","0","477","0","0","72","4","1","141","0","0","212","0","0","111","0","0","32","0","0","287","0","0","516","0","0","147","0","0","238","0","0","313","0","0","265","0","0","100","0","0","217","0","0","261","0","0","204","0","0","112","0","0",NULL
"5","20",NULL,NULL,NULL,"80","4","1","220","0","0","58","0","0","518","0","0","479","0","0","309","0","0","523","0","0","120","0","0","407","4","1","495","0","0","320","0","0","52","0","0","99","4","1","22","0","0","286","0","0","378","0","0","40","0","0","416","0","0","249","0","0","377","0","0",NULL
"5","21",NULL,NULL,NULL,"409","0","0","69","0","0","422","0","0","57","0","0","102","0","0","104","1","1","36","0","0","248","0","0","144","1","1","127","3","1","76","3","1","430","0","0","241","4","1","167","0","0","143","0","0","464","0","0","508","4","1","11","0","0","215","3","0","232","0","0",NULL
"6","1","M","2","USA","150","4","3","321","2","1","153","3","2","381","2","1","478","4","3","4","3","2","370","0","0","87","2","1","494","3","2","194","4","3","81","4","2","378","2","2","127","3","2","483","0","3","18","2","2","240","4","3","237","3","2","133","4","3","48","2","1","534","3","2","169.237.149.7"
"7","1","M","2","US",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"66.90.167.121"
"8","1","F","2","USA","182","3","2","49","3","2","152","2","1","440","3","2","388","4","3","354","4","2","355","3","2","507","3","2","60","2","2","44","2","1","34","4","3","445","4","3","411","3","2","180","4","2","143","4","3","451","4","3","386","4","3","37","4","3","11","2","2","410","4","3","128.200.61.149"
"8","2",NULL,NULL,NULL,"543","4","2","249","4","2","364","4","3","32","4","3","169","3","2","503","0","0","46","3","1","393","4","3","90","4","3","3","4","2","10","3","1","319","3","3","103","4","3","95","3","1","315","4","1","130","3","2","55","3","3","309","1","1","69","4","3","331","4","3",NULL
