pdf,autocit,proposed,year,Ifjrnl,citWoK,citGoog
1,0,1,1997,3.444,16,24
2,0,1,1993,2.517,208,271
3,0,1,1984,3.832,221,298
4,0,2,2007,10.689,301,441
5,0,2,2001,33.611,624,952
6,0,1,1993,41.456,215,290
7,0,1,2013,33.611,95,153
8,0,2,1974,1.23,6822,10936
9,0,1,2000,1.726,953,1518
10,0,1,2011,10.689,417,595
11,0,1,1978,4.504,1005,1364
12,0,3,1979,41.456,1339,2182
13,0,1,1980,33.611,164,243
14,0,2,1981,7.055,711,953
15,0,1,1994,3.444,1426,2644
16,0,1,1980,3.832,606,906
17,0,1,1976,33.611,361,554
18,0,2,1981,33.611,2840,29297
19,0,1,1999,41.456,269,368
20,0,1,1993,7.512,922,1558
21,0,1,2007,33.611,929,1383
22,0,1,1985,10.562,1543,2003
23,0,1,1948,3.805,1755,2751
24,0,1,2010,10.562,205,328
25,0,1,1999,5.051,107,155
26,0,1,2008,3.896,92,139
27,0,1,1997,2.517,75,111
28,0,1,2002,2.747,82,113
29,0,2,1994,16.196,1268,1814
30,0,2,1985,10.562,1187,1707
31,1,1,1994,0.4,67,103
32,1,1,1996,0.4,27,46
33,1,1,2010,3.667,NA,86
34,1,1,1996,16.196,89,129
35,1,1,2004,1.931,18,25
36,1,1,2014,1.99,1,4
37,1,1,2008,2.619,98,162
38,0,4,2009,16.196,1413,2346
39,0,1,2003,3.832,797,1083
40,0,1,2002,2.321,550,815
41,0,1,1994,16.196,409,564
42,1,1,2008,16.196,431,684
43,0,2,1965,33.611,2198,3117
44,0,3,1989,33.611,388,551
45,0,1,1984,3.832,1412,2081
46,0,9,2004,4.656,1779,2572
47,0,1,1988,2.35,684,928
48,0,1,1989,6.98,207,266
49,0,1,1999,1.84,341,522
50,0,1,1956,14.387,NA,1344
51,0,1,2004,2.205,1659,2928
52,0,1,2001,1.487,401,591
53,1,1,2006,10.689,108,147
54,0,1,1985,33.611,117,165
55,0,2,2002,41.456,754,1046
56,0,1,1995,1.829,878,1293
57,0,1,2006,41.456,692,988
58,0,1,2007,9.674,392,540
59,0,3,2012,41.456,565,1014
60,0,1,1987,4.656,534,788
61,0,2,1985,5.524,1324,2194
62,1,1,2009,9.674,469,914
63,0,1,2007,4.828,263,360
64,0,1,1970,4.656,219,432
65,0,4,1994,4.504,1023,1890
66,1,2,2009,10.689,543,729
68,0,4,1965,33.611,291,647
69,0,1,1980,10.562,NA,3595
70,1,1,2006,3.943,274,429
71,0,1,1976,1.702,2361,3776
72,0,1,2007,9.674,236,317
73,0,1,2013,10.689,54,72
74,0,14,2000,10.562,1605,2279
75,0,1,2008,41.456,98,143
76,0,1,1981,3.832,640,879
77,0,1,2003,41.456,104,154
78,0,1,1979,5.051,180,233
79,0,1,1936,5.521,NA,1087
80,0,1,1966,4.612,700,991
81,0,2,1985,33.611,1958,2863
82,0,1,2009,9.674,107,177
83,0,5,1961,4.656,1216,1747
84,0,1,1961,6.98,718,932
85,0,5,1978,33.611,4501,8007
86,0,2,1980,3.444,841,1186
87,0,1,1977,3.832,2043,3655
88,0,1,1983,3.444,89,139
89,0,3,1979,4.656,627,898
90,0,1,1979,3.832,1255,1840
91,0,1,2013,9.67,25,28
92,0,1,2006,4.656,274,386
93,0,2,1997,41.456,4248,14413
94,0,1,2005,7.441,122,177
95,0,1,2001,33.611,476,622
96,0,1,1999,16.196,672,1035
97,1,1,2015,16.196,6,6
98,0,1,2005,41.456,792,1390
99,0,1,1989,4.612,745,964
100,0,1,2007,9.571,192,323
101,0,3,1987,4.656,539,974
102,0,2,2004,10.689,438,561
103,0,1,1981,41.456,608,860
104,0,1,1858,2.717,NA,544
105,1,2,1971,6.98,1718,2236
106,1,2,1973,3.832,140,163
107,0,1,1992,6.98,257,337
108,1,1,1974,6.98,585,497
109,0,1,1955,0.856,298,402
110,0,1,1995,6.98,158,234
111,0,1,1996,4.093,109,208
112,0,1,2008,9.674,716,1006
113,0,1,1975,3.762,NA,1483
114,0,1,2004,3.709,506,700
115,1,1,2014,33.611,60,167
116,0,1,2008,4.656,148,201
117,0,1,1980,0.646,1502,1833
118,0,1,2003,10.689,170,234
119,0,1,2000,3.444,285,428
120,0,1,2004,9.674,179,268
121,0,1,2000,9.674,382,503
122,1,1,2000,33.611,148,221
123,1,1,2002,16.196,125,233
124,1,1,2000,33.611,307,461
125,0,1,1991,6.98,269,481
126,0,1,1967,3.832,150,271
127,0,6,1964,4.612,1800,3296
128,0,1,1971,33.611,533,1793
129,0,1,2001,41.456,119,161
130,0,2,2000,10.689,364,572
131,0,3,1977,33.611,3507,4611
132,0,1,1982,3.832,511,669
133,0,1,1998,1.568,86,138
134,0,1,1998,33.611,567,943
135,0,2,2011,33.611,583,933
136,0,1,2003,10.562,2048,3618
137,0,1,2013,4.59,51,96
138,0,1,2000,10.562,151,201
139,0,2,1981,4.612,545,701
140,0,4,1985,3.832,4807,5984
141,0,1,2012,1.07,NA,6
142,0,1,2005,33.611,2164,4100
143,0,1,1986,3.5,233,728
144,0,1,1970,0.704,NA,23
145,0,1,2003,10.689,51,60
146,0,1,2015,10.562,NA,5
147,0,1,2007,4.828,202,255
148,0,1,2000,10.562,704,987
149,0,1,1994,2.543,418,529
150,0,1,1994,18.51,291,362
151,0,1,2000,41.456,1030,1789
152,0,1,1934,33.611,42,79
153,0,1,1936,4.504,NA,140
154,0,1,1995,4.656,46,52
155,0,1,1997,7.512,266,378
156,0,1,2011,1.076,15,21
158,0,1,2004,16.196,89,130
159,0,3,1926,0.921,NA,1928
160,0,1,1999,1.702,119,156
161,0,1,1979,10.562,186,279
162,0,5,2001,10.689,2503,3695
163,1,7,1979,5.051,2873,5988
164,0,1,1991,4.828,89,146
165,0,1,1995,4.612,52,60
166,0,1,1973,41.456,1038,1543
167,0,1,1974,41.456,553,917
168,0,2,1977,3.832,2222,3304
169,0,2,1998,5.521,642,1049
170,1,2,2005,33.611,613,1113
171,0,1,1917,1.864,NA,1011
172,0,2,1977,9.67,2232,3418
173,1,3,2005,10.689,1858,2861
174,0,3,2005,10.689,369,480
175,0,21,1960,3.832,1741,2744
176,0,2,1993,3.832,295,400
177,0,1,1963,1.093,8,347
178,0,1,2008,33.611,1323,2118
179,0,1,1982,33.611,2161,3047
180,0,2,1977,41.456,789,1044
181,0,4,1964,2.116,7065,12166
182,0,2,1964,2.116,1662,2408
183,0,1,1966,2.116,1002,1417
184,0,1,1967,33.611,2025,2739
185,0,1,1994,4.504,827,1260
186,0,7,1998,41.456,1103,1886
187,0,4,1968,33.611,6819,27699
188,0,1,1960,33.611,1078,2016
189,0,1,2015,3.832,1,5
190,0,5,1967,4.564,17,614
191,0,1,2007,16.196,225,311
192,0,1,2008,9.674,29,50
193,0,1,1994,41.456,221,303
194,0,1,1976,4.504,417,571
195,0,1,1973,4.504,527,638
196,0,1,1986,4.504,95,131
197,0,1,1991,41.456,566,815
198,0,2,2015,33.611,1,2
199,1,2,2003,4.656,863,1197
200,1,1,1999,4.612,473,630
201,0,1,1992,4.889,1826,2661
202,1,1,2006,6.531,562,955
203,1,1,2009,10.689,30,51
204,0,1,1969,7.972,245,415
205,0,5,1973,10.562,NA,7309
206,0,1,1959,0.837,NA,2147
207,0,1,1993,3.832,171,219
208,0,1,1997,3.832,486,696
209,0,2,1977,1.702,1212,1653
210,0,3,2005,6.98,2353,3738
211,0,1,1972,4.656,347,445
212,1,1,1983,6.98,498,901
213,0,1,2010,9.674,44,76
214,0,3,1979,33.611,678,1164
215,0,3,1997,3.324,137,382
216,0,1,2006,4.656,166,287
217,0,2,1998,33.611,453,639
218,0,1,2012,7.055,126,179
219,0,2,1958,NA,NA,NA
220,1,1,1999,41.456,448,672
221,0,1,1992,4.656,866,1274
222,0,27,1984,6.98,4688,6766
223,0,1,2004,3.444,72,111
224,0,1,2009,0.855,50,87
225,0,2,1997,3.093,955,1407
226,0,5,1957,0.856,NA,NA
227,0,18,1959,3.832,2008,3071
228,0,7,1961,3.832,1373,2119
229,0,1,1981,3.138,120,156
230,0,3,2001,33.611,2585,4384
231,0,1,2009,9.674,152,208
232,0,2,2000,2.658,261,396
233,0,7,1967,3.832,492,709
234,0,2,1982,33.611,368,587
235,0,4,1970,3.832,2095,3447
236,0,1,2002,5.051,110,175
237,0,1,1980,4.656,1678,2841
238,0,1,2004,16.196,1459,2052
239,0,1,1997,7.672,686,1098
240,0,1,2010,7.672,144,200
241,0,1,1994,3.444,2272,3683
242,0,1,1999,16.196,117,167
243,0,1,1987,3.832,322,488
244,0,1,1983,3.093,374,548
245,0,1,2004,10.689,997,1329
246,0,1,2009,10.689,470,687
247,0,1,1992,3.709,609,928
248,0,1,2005,3.709,4,10
249,1,1,1998,41.456,203,311
250,0,1,2013,8.044,41,57
251,0,1,2002,41.456,574,858
252,0,1,1955,3.805,NA,377
253,0,1,2010,10.689,93,151
254,0,1,1968,41.456,1751,2937
255,0,1,2001,3.832,960,1217
256,0,2,1997,3.832,606,802
257,1,1,2006,7.672,269,400
258,1,1,2015,7.848,1,3
259,0,1,1996,4.656,724,1017
260,0,1,1993,16.196,141,281
261,0,3,1983,4.612,2805,3433
262,0,2,1980,4.612,963,1189
263,0,1,1981,9.674,1446,1799
264,0,2,1993,3.832,894,1294
265,1,1,2004,41.456,75,85
266,0,1,1992,4.093,309,474
267,0,2,2002,4.828,810,1226
268,0,1,1992,3.444,6,NA
269,0,6,1999,3.444,610,926
270,1,1,2002,16.196,778,1123
271,0,7,2004,10.689,1265,1805
272,0,1,2002,7.055,17,29
273,0,2,1953,3.832,784,1074
274,0,1,1974,9.674,544,855
275,0,1,1980,1.864,5,17
276,0,19,1992,4.656,3022,5184
277,0,1,1963,3.832,250,351
278,0,1,1963,3.832,154,211
279,0,5,1966,0.557,688,1431
280,0,2,1969,1.19,NA,2706
281,0,1,1971,9.674,409,550
282,0,1,2006,9.176,22,36
283,0,1,2008,33.611,837,1217
284,0,2,1970,6.98,724,1176
285,0,7,1942,4.656,NA,2635
286,0,1,2006,4.656,194,265
287,0,1,1999,4.656,974,1673
288,0,1,1998,9.674,260,396
289,0,1,2003,9.674,247,372
290,0,2,1955,4.656,886,1805
291,0,4,1958,4.656,750,1189
292,0,1,1961,4.656,1489,2806
293,0,2,1966,3.832,1956,3102
294,0,11,1963,4.612,1043,1966
295,0,4,1967,3.832,1587,2304
296,0,1,1964,9.674,467,724
297,0,2,2012,16.196,158,380
298,0,1,2000,4.093,2667,4621
299,0,1,2002,4.656,1197,1955
300,0,4,1963,3.832,401,812
301,0,1,2014,5.524,7,18
302,0,1,1995,7.977,166,355
303,0,1,1966,41.456,36,94
304,0,1,1972,9.674,416,601
305,0,1,1979,41.456,607,828
306,0,6,1972,41.456,810,1423
307,0,1,1973,4.656,100,173
