pdf,argument,observation,lab.exp,data.analysis,field.exp,modelling
1,1,,,,,
2,,,,,,1
3,,,,,,1
4,,,,,,1
5,,,,,,
6,,,,,,1
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,1
12,,,,,,1
13,,,,,,1
14,,,,,,1
15,,,,,,
16,,,,,,1
17,,,,,,
18,,,,,,
19,,,1,,,
20,,,,,,1
21,,,1,,,
22,,,,,,
23,,,1,,,
24,,,,,,1
25,,1,,,,
26,,,1,,,
27,,,,,,1
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,1,,,,,
34,1,,,,,
35,1,,,,,
36,1,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,1
41,,,,,,
42,,,,,,
43,,1,,,,
44,,,,,,1
45,,,,,,1
46,1,,,,,1
47,,,,,1,1
48,,,,,1,
49,,,,,,1
50,1,1,,,,
51,,,,,,1
52,,,,,,1
53,,1,1,,,
54,,,,,1,
55,,,,,1,
56,,,,,,
57,,,,,,1
58,,,,,,1
59,,,,,,
60,,,,,1,
61,1,,,,,
62,1,,,,,
63,1,,,,,
64,,1,,,,
65,1,,,,,
66,,,,,,
68,1,,,,,
69,,,,,,
70,1,,,,,
71,,,,,,1
72,,,,,1,
73,1,,,,,
74,,,,,,1
75,,,,,,1
76,,,,,,1
77,,1,,,,
78,,,,,,
79,,,,,,
80,,,,,,1
81,,,,,,
82,,,,,,
83,,1,,,,
84,,1,,,,
85,,,,,,
86,,,,,1,
87,,,,,,
88,1,,,,,
89,1,,,,,
90,1,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,1,,,,
96,,,,,,
97,,,,,,1
98,,,,,,1
99,,,,1,,
100,,,,,,
101,,,,,,1
102,,,,,,
103,,,,1,,
104,1,1,,,,
105,,1,,,,
106,1,,,,,
107,,1,,,,
108,,,,,1,
109,,,,,,1
110,,,,,,1
111,1,,,,,
112,,,,1,,
113,1,,,,,
114,,,,1,,
115,,,,,,
116,,,,1,,
117,,,,,,
118,,,,,1,
119,,,,,,
120,,,,1,,
121,,,,,,
122,,,,,,1
123,,,,,,
124,,,,,,1
125,,,,,,
126,1,,,,,
127,,,,,,
128,1,,,,,
129,,,1,,,1
130,,,,,,
131,,,,,,
132,1,,,1,,
133,,,,,,1
134,,1,,,,
135,,,,,,
136,,,,,,
137,1,,,,,
138,,,,,,
139,,,,,,1
140,,,,,,1
141,1,,,,,
142,,,,,,
143,,,,,,
144,,,,,,1
145,,,1,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,1,,,1,,
150,,,,,,
151,,,,,,
152,,,1,,,1
153,,,1,,,1
154,,,,,1,
155,,,,,,1
156,,,,1,,
158,,,,1,,
159,1,,,,,
160,,,,,,1
161,,,,,,
162,,,,,,
163,1,,,,,
164,1,,,,,
165,,1,,,,
166,1,,,,,
167,1,,,,,
168,1,,,,,
169,,,,,,
170,,,,,,
171,,1,,,,
172,,,,,,
173,,,,,,1
174,1,,,1,,
175,1,,,,,
176,1,,,1,,
177,,,,,,1
178,,,,1,,
179,,,,1,,
180,,,,,,1
181,,,,,,1
182,,,,,,1
183,,,,,,1
184,1,,,1,,1
185,,,,1,,1
186,,,,,,
187,1,,,,,
188,1,,,,,
189,1,,,,,
190,1,,,,,1
191,,,,,,
192,,,,,,
193,,,,,,1
194,,,,,,1
195,,,,,,1
196,,,,,,1
197,,,,,,1
198,,,,1,,
199,,,,1,,
200,,,,,,
201,,,,,,
202,1,,,,,
203,1,,,,,
204,1,,,,,
205,,,,,,
206,,,,,,
207,,,,,,1
208,,,,,,1
209,,,,,,1
210,,,,,,
211,,,,,,1
212,,,,1,,
213,,,,,,
214,,,,,,
215,,,,,,1
216,,,,,,1
217,,,,1,,
218,,,,1,,
219,,,1,,,
220,,,,,,1
221,1,,,,,
222,,,,,1,
223,1,,,,,
224,1,,,,,
225,1,,,,,
226,1,,,,,
227,1,,,,,
228,1,,,,,
229,,,,,1,
230,,,,,,
231,,,,,,
232,,,,,,
233,1,,,,,
234,,,,,,
235,1,1,,,,
236,,,,1,,
237,,,,,,1
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,1
244,,,,,,1
245,,,,,,
246,,,,,,
247,,,,,,
248,1,,,,,
249,,,1,,,
250,,,1,,,
251,,,1,,,
252,,,,,1,
253,1,,,,,
254,,,,,,1
255,,,,,,
256,,,,,,1
257,,,,,,
258,,,,,,
259,,,,,,1
260,1,,,,,
261,,,,1,,1
262,,,,,,1
263,,,,,,1
264,,,,,,1
265,,,1,,,
266,,,,1,,
267,,,,,,
268,1,,,,,
269,1,,,,,
270,,,,,,
271,,,,,,
272,1,,,,,
273,,,,,,1
274,,,,,,1
