prop.gend,pdf
M,2
M,3
F,4
M,4
M,5
M,5
M,6
M,7
F,8
M,9
M,10
M,11
M,12
M,12
M,12
M,13
M,14
F,14
M,15
M,16
M,17
M,18
M,18
M,19
M,20
M,21
M,22
M,23
M,24
F,25
F,26
M,27
F,28
M,29
M,29
M,30
M,31
M,32
M,33
M,34
M,35
M,36
M,37
M,38
M,38
M,38
M,38
M,39
M,40
M,41
M,42
M,43
M,44
M,44
F,44
M,45
M,46
M,46
M,46
M,46
M,46
M,46
M,46
M,46
M,46
M,47
M,48
M,49
M,50
M,51
M,52
M,53
M,54
M,55
M,55
M,55
M,56
M,56
M,57
M,58
M,59
F,59
M,59
M,60
M,61
F,61
M,62
M,63
M,64
M,65
M,65
F,65
M,65
F,66
M,66
F,67
F,68
F,68
M,68
M,69
M,69
M,70
M,71
F,72
M,73
M,74
M,74
M,74
M,74
M,74
F,74
M,74
M,74
M,74
M,74
M,74
F,74
M,74
M,74
M,75
M,76
F,77
M,78
M,79
M,80
M,81
M,81
M,82
M,83
F,83
M,83
M,83
M,84
M,85
M,85
M,85
F,85
M,86
M,86
M,87
F,88
M,89
M,89
M,89
M,90
M,91
M,92
M,93
M,93
M,94
M,95
M,96
M,97
M,98
M,99
M,100
M,101
M,101
F,101
M,102
F,102
M,103
M,104
M,104
M,105
M,106
M,106
M,107
M,108
F,109
M,110
M,111
F,112
M,113
F,114
M,115
M,116
M,117
M,118
M,119
M,120
M,121
M,122
M,123
M,124
F,125
M,126
M,127
M,127
F,127
M,127
M,127
M,127
M,128
M,129
M,130
F,130
M,131
M,131
M,131
M,132
M,133
M,134
M,135
M,135
F,136
M,137
M,138
M,139
M,139
M,140
M,140
M,140
F,140
M,141
M,142
M,143
M,144
F,145
F,146
M,147
M,148
M,149
M,150
M,151
M,152
M,153
M,154
F,155
F,155
M,156
M,157
M,158
M,159
M,159
M,159
F,160
F,161
M,162
M,162
F,162
F,162
M,162
M,163
M,163
M,163
M,163
F,163
M,163
M,163
F,164
M,165
M,166
M,167
M,168
M,168
M,169
M,169
M,170
F,170
M,171
M,172
M,172
M,173
F,173
M,173
M,174
M,174
M,174
M,175
M,175
M,175
M,175
M,175
M,175
M,175
M,175
F,175
M,175
F,175
M,175
F,175
M,175
F,175
M,175
M,175
M,175
M,175
M,175
M,176
M,176
F,177
M,178
F,179
M,180
M,181
M,181
M,181
M,182
M,183
M,184
M,185
M,186
M,186
M,186
M,186
M,186
M,186
M,186
M,187
M,188
M,188
M,188
M,188
M,189
M,190
M,190
M,190
M,190
M,191
F,192
M,193
M,194
M,195
M,196
M,197
M,198
M,198
M,199
M,199
M,200
M,201
M,202
M,203
M,204
M,205
M,205
M,205
M,205
M,206
M,207
M,208
M,209
M,209
M,209
M,210
F,210
M,211
M,212
M,213
M,214
M,214
M,214
M,215
M,215
M,215
F,216
F,217
M,217
M,218
M,219
M,219
M,220
M,221
M,222
M,222
M,222
M,222
M,222
M,222
M,222
M,222
M,222
M,222
F,222
M,222
M,222
M,222
M,222
F,222
M,222
F,222
F,222
M,222
F,222
M,222
M,222
F,222
M,222
M,222
M,222
M,223
M,224
M,225
M,225
M,226
M,226
M,226
M,226
M,226
M,227
M,227
M,227
M,227
M,227
M,227
M,227
M,227
F,227
F,227
M,227
M,227
F,227
M,227
M,227
M,227
M,227
M,227
M,228
M,228
M,228
M,228
M,228
M,228
M,228
M,229
M,230
M,230
M,230
F,231
F,232
F,232
F,232
M,233
M,233
M,233
F,233
M,233
F,233
