pdf,nproposed
222,27
175,20
227,18
276,18
74,14
294,12
353,10
46,9
310,9
479,9
163,7
186,7
228,7
233,7
354,7
428,7
127,6
269,6
271,6
285,6
306,6
406,6
162,5
226,5
279,5
38,4
65,4
83,4
85,4
140,4
188,4
190,4
205,4
235,4
291,4
295,4
300,4
347,4
468,4
12,3
44,3
55,3
59,3
68,3
89,3
101,3
131,3
159,3
173,3
174,3
181,3
209,3
214,3
215,3
230,3
232,3
261,3
309,3
465,3
487,3
496,3
501,3
507,3
517,3
4,2
5,2
14,2
18,2
29,2
61,2
66,2
69,2
81,2
86,2
93,2
102,2
104,2
106,2
130,2
135,2
139,2
168,2
169,2
170,2
172,2
176,2
198,2
199,2
210,2
217,2
219,2
225,2
234,2
256,2
262,2
264,2
267,2
280,2
284,2
289,2
290,2
293,2
297,2
312,2
331,2
351,2
370,2
387,2
396,2
399,2
417,2
419,2
430,2
432,2
435,2
437,2
443,2
445,2
448,2
454,2
459,2
461,2
463,2
475,2
482,2
485,2
489,2
500,2
505,2
508,2
2,1
3,1
6,1
7,1
8,1
9,1
10,1
11,1
13,1
15,1
16,1
17,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
30,1
39,1
40,1
41,1
42,1
43,1
45,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
57,1
58,1
60,1
62,1
63,1
64,1
70,1
71,1
72,1
73,1
75,1
76,1
77,1
78,1
79,1
82,1
84,1
87,1
88,1
90,1
91,1
92,1
95,1
96,1
97,1
98,1
100,1
103,1
105,1
107,1
108,1
109,1
110,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
125,1
126,1
128,1
129,1
132,1
133,1
134,1
136,1
137,1
138,1
141,1
143,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
156,1
158,1
160,1
161,1
164,1
165,1
166,1
167,1
171,1
178,1
180,1
182,1
183,1
184,1
185,1
187,1
189,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
200,1
201,1
202,1
203,1
204,1
208,1
211,1
212,1
213,1
216,1
218,1
220,1
221,1
223,1
224,1
229,1
231,1
236,1
237,1
238,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
257,1
258,1
259,1
260,1
263,1
265,1
266,1
268,1
270,1
272,1
273,1
274,1
275,1
277,1
278,1
281,1
282,1
283,1
286,1
287,1
292,1
296,1
298,1
299,1
301,1
302,1
303,1
304,1
305,1
308,1
311,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
348,1
349,1
350,1
352,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
397,1
398,1
400,1
401,1
402,1
403,1
404,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
418,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
429,1
431,1
433,1
434,1
436,1
438,1
439,1
440,1
441,1
442,1
444,1
446,1
447,1
449,1
450,1
451,1
452,1
453,1
455,1
457,1
458,1
460,1
462,1
464,1
467,1
470,1
471,1
472,1
473,1
474,1
476,1
478,1
480,1
481,1
483,1
486,1
488,1
491,1
493,1
494,1
495,1
497,1
498,1
502,1
504,1
506,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
518,1
520,1
521,1
522,1
523,1
524,1
525,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
543,1
544,1
545,1
546,1
